YEAR,MONTH,DAY,T2M_MAX,T2M_MIN,T2M_RANGE
1982,1,1,24.17,8.84,15.32
1982,1,2,25.4,8.51,16.89
1982,1,3,26.02,10.08,15.93
1982,1,4,27,12.34,14.65
1982,1,5,26.86,13.41,13.45
1982,1,6,28.02,15.45,12.57
1982,1,7,26.3,12.62,13.67
1982,1,8,26.72,11.79,14.93
1982,1,9,27.47,11.33,16.13
1982,1,10,25.18,13.67,11.51
1982,1,11,23.76,10.33,13.43
1982,1,12,25.31,10.86,14.45
1982,1,13,25.38,11.33,14.05
1982,1,14,25.7,12.22,13.48
1982,1,15,25.65,12.28,13.38
1982,1,16,25.9,11.03,14.88
1982,1,17,24.95,10.88,14.08
1982,1,18,25.22,8.47,16.75
1982,1,19,26.05,8.69,17.38
1982,1,20,25.92,9.54,16.38
1982,1,21,26.28,10.59,15.7
1982,1,22,27.97,15.87,12.09
1982,1,23,29.42,15.61,13.81
1982,1,24,29.75,15.31,14.44
1982,1,25,29.86,15.05,14.81
1982,1,26,27.24,14.04,13.2
1982,1,27,20.15,12.54,7.61
1982,1,28,26.43,10.26,16.18
1982,1,29,26.2,12.25,13.95
1982,1,30,21.48,10.9,10.58
1982,1,31,20.18,11.88,8.3
1982,2,1,21.98,9.84,12.13
1982,2,2,23.87,9.86,14.02
1982,2,3,24.23,10.96,13.27
1982,2,4,23.98,11.78,12.2
1982,2,5,24.15,10.35,13.8
1982,2,6,23.76,7.86,15.9
1982,2,7,24.08,6.79,17.29
1982,2,8,25.78,7.99,17.78
1982,2,9,25.86,9.81,16.05
1982,2,10,25.89,8.19,17.7
1982,2,11,27.15,11.4,15.75
1982,2,12,29.13,12.07,17.05
1982,2,13,28.84,14.46,14.38
1982,2,14,27.44,12.68,14.76
1982,2,15,25.69,13.03,12.66
1982,2,16,22.62,12.06,10.56
1982,2,17,27.63,12.53,15.11
1982,2,18,29.05,13.4,15.66
1982,2,19,29.44,15.07,14.36
1982,2,20,28.53,15.14,13.39
1982,2,21,29.65,14.76,14.88
1982,2,22,27.49,12.88,14.61
1982,2,23,26.61,12.13,14.47
1982,2,24,26.29,10.5,15.79
1982,2,25,26.4,10.99,15.41
1982,2,26,28.33,10.39,17.95
1982,2,27,27.98,12.26,15.7
1982,2,28,29.23,13.47,15.77
1982,3,1,27.67,17.44,10.23
1982,3,2,20.74,13.44,7.3
1982,3,3,26.52,12.91,13.62
1982,3,4,26.49,9.94,16.55
1982,3,5,22.89,13.05,9.84
1982,3,6,25.87,13.19,12.69
1982,3,7,27.76,12.36,15.4
1982,3,8,28.67,11.13,17.54
1982,3,9,29.06,13.57,15.49
1982,3,10,29.62,13.01,16.61
1982,3,11,32.07,16.4,15.66
1982,3,12,30.98,16.73,14.26
1982,3,13,29.83,11.72,18.12
1982,3,14,31.36,12.2,19.16
1982,3,15,32.23,13.05,19.18
1982,3,16,33.54,15.66,17.87
1982,3,17,36.55,17.71,18.84
1982,3,18,35.01,17.04,17.98
1982,3,19,33.79,15.98,17.81
1982,3,20,34.49,15.57,18.92
1982,3,21,34.23,15.73,18.49
1982,3,22,36.29,17.33,18.95
1982,3,23,37.22,19.27,17.95
1982,3,24,35.3,20.82,14.48
1982,3,25,34.94,20.48,14.45
1982,3,26,32.05,18.06,13.98
1982,3,27,33.05,16.43,16.63
1982,3,28,34.65,15.51,19.15
1982,3,29,36.11,19.73,16.38
1982,3,30,35.58,19.8,15.79
1982,3,31,37.17,20.83,16.34
1982,4,1,37.8,19.4,18.39
1982,4,2,39.5,20.01,19.48
1982,4,3,38.86,19.65,19.21
1982,4,4,39.68,23.96,15.72
1982,4,5,37.2,23.4,13.79
1982,4,6,41.02,21.48,19.55
1982,4,7,40.39,23.4,16.98
1982,4,8,37.12,20.52,16.59
1982,4,9,36.94,18.15,18.8
1982,4,10,38.45,21.64,16.8
1982,4,11,39.75,23.05,16.7
1982,4,12,40.32,20.81,19.51
1982,4,13,40.5,22.42,18.08
1982,4,14,40.55,23.75,16.8
1982,4,15,42.67,24.05,18.62
1982,4,16,42.35,24.43,17.92
1982,4,17,41.36,25.12,16.23
1982,4,18,39.26,26.43,12.84
1982,4,19,35.55,23.64,11.91
1982,4,20,35.13,22.96,12.17
1982,4,21,38.19,24.43,13.77
1982,4,22,39.61,23,16.61
1982,4,23,40.33,23.16,17.17
1982,4,24,41.3,24.52,16.79
1982,4,25,41.5,26.59,14.91
1982,4,26,40.88,26.26,14.63
1982,4,27,38.94,23.87,15.07
1982,4,28,39.66,24.4,15.27
1982,4,29,39.58,23.85,15.73
1982,4,30,39.9,23.32,16.57
